r,p,sample_size,population_r
0.30892266049081113,0.18507813760475622,20,0.15
0.20499406046407334,0.3859460435093721,20,0.15
0.2661215107575285,0.2567522768582251,20,0.15
-0.24518147483732675,0.2974608239540514,20,0.15
0.491021008866121,0.02791743649205627,20,0.15
-0.09218720246906958,0.6990875122733391,20,0.15
0.0786850039626888,0.7415935729012696,20,0.15
0.12239853487617262,0.6071980397210563,20,0.15
0.01387822420227443,0.9536917456226045,20,0.15
0.15659419486366818,0.509700321420154,20,0.15
0.39126319721397146,0.08802734190246918,20,0.15
0.36792866194143575,0.11047695070245506,20,0.15
-0.1567994072945769,0.5091387856159237,20,0.15
-0.14457326463716355,0.5431019115530242,20,0.15
-0.18226302325742966,0.4418356255317707,20,0.15
0.12511958569149137,0.5991691321148043,20,0.15
0.14961255517529956,0.5289793229489985,20,0.15
0.6840879970321729,8.798869900550411e-4,20,0.15
0.08911382814779105,0.7086923941859467,20,0.15
0.34367584516991245,0.137907510386058,20,0.15
0.09260974039902928,0.6977703975289477,20,0.15
0.2737546455093004,0.2428402555689213,20,0.15
-0.20600036026280388,0.38356718892296915,20,0.15
0.1309855677937287,0.42045280382714334,40,0.15
0.024606969358262655,0.8801998605799785,40,0.15
0.058859883855101665,0.7182704939480886,40,0.15
0.14768399183743208,0.3631295460148807,40,0.15
0.05035242652548535,0.7576606396386817,40,0.15
0.13176835661694294,0.41765694275890053,40,0.15
0.04127177334886701,0.8003793674032693,40,0.15
0.2140715161880659,0.18470331875411394,40,0.15
0.24748411516055388,0.12364424342878755,40,0.15
0.06756576424806074,0.6786932587036303,40,0.15
-0.0038498731357240784,0.9811902602368805,40,0.15
0.2081304605498836,0.1974819569610634,40,0.15
0.3085067962516912,0.05276569051051812,40,0.15
0.07330585933532534,0.6530486299618338,40,0.15
-0.029000524043042,0.8590084209041916,40,0.15
0.10920499790851496,0.5023591838629621,40,0.15
0.039755538642692344,0.8075721757442688,40,0.15
0.2719792587009488,0.08955043605809786,40,0.15
0.39389478800302624,0.011909852894846596,40,0.15
0.041499925639476055,0.7992984340255784,40,0.15
-0.10803961452703195,0.5069581479642422,40,0.15
0.41560435730019396,0.007653130209100294,40,0.15
0.2781754404290981,0.08220436721250737,40,0.15
-0.050923360407078885,0.7549969122622766,40,0.15
0.3536043253764259,0.025198994313458283,40,0.15
0.2032920605337907,0.20833810521434593,40,0.15
0.06042588743201941,0.7110940636279712,40,0.15
-0.04329279334596224,0.7908172320947997,40,0.15
0.34006741909085575,0.031791572307935945,40,0.15
-0.00986404744387613,0.9518299992166321,40,0.15
0.23939081720264915,0.13681438160581252,40,0.15
0.2641789943980676,0.09950776325285765,40,0.15
0.03567655343320333,0.8269984163308457,40,0.15
0.07550128047020108,0.6433414224235028,40,0.15
0.02940922284752817,0.8570418580259908,40,0.15
0.39391863426462925,0.011904251288162877,40,0.15
0.2612758814029284,0.10342271399621596,40,0.15
0.12997206737574013,0.42408831395867097,40,0.15
0.2616284519194109,0.10294108725914419,40,0.15
0.2996402349549465,0.060324390811465095,40,0.15
-0.07040697109455192,0.665952915034955,40,0.15
0.11930751221512514,0.46339688801209644,40,0.15
0.19053795171660634,0.23892341273891238,40,0.15
0.42202081178781686,0.006678555849937255,40,0.15
0.2781741618076831,0.08220583315924511,40,0.15
0.30532287426231935,0.05538728749527845,40,0.15
-0.14691094053252257,0.36567466324675824,40,0.15
0.10354373581155012,0.5248971314419055,40,0.15
0.38825226711253663,0.013299942857564877,40,0.15
-0.18435592732776304,0.2547905587707141,40,0.15
-0.2758776277640443,0.08487182430672562,40,0.15
0.18286391961903223,0.25872297971756864,40,0.15
0.20630141754395429,0.20153814217710306,40,0.15
0.29686506550146946,0.06285950339800299,40,0.15
0.2667877040350885,0.09608754589334552,40,0.15
-0.018185818824097824,0.9113157173057007,40,0.15
0.1395001594456392,0.39061175980751883,40,0.15
-0.006780785171749083,0.9668765797300745,40,0.15
0.10359106147550073,0.524706686787185,40,0.15
0.25908802528639496,0.10644994695866918,40,0.15
0.10453004589593365,0.5209351274970664,40,0.15
0.42635019247809225,0.006083192980801954,40,0.15
